timestamp,can_id_hex,dlc,payload_hex
2026-08-20 20:47:54,0x100,1,73
2026-08-20 20:47:54,0x101,2,109f
2026-08-20 20:47:54,0x102,1,4d
2026-08-20 20:47:54,0x100,1,76
2026-08-20 20:47:54,0x101,2,10f4
2026-08-20 20:47:54,0x102,1,4d
2026-08-20 20:47:54,0x100,1,74
2026-08-20 20:47:54,0x101,2,1088
2026-08-20 20:47:54,0x102,1,4d
2026-08-20 20:47:54,0x100,1,74
2026-08-20 20:47:54,0x101,2,1029
2026-08-20 20:47:54,0x102,1,4e
2026-08-20 20:47:54,0x100,1,75
2026-08-20 20:47:54,0x101,2,0fa7
2026-08-20 20:47:54,0x102,1,4e
2026-08-20 20:47:54,0x100,1,73
2026-08-20 20:47:54,0x101,2,0fd3
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,77
2026-08-20 20:47:54,0x101,2,0ff0
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,78
2026-08-20 20:47:54,0x101,2,0f9c
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,78
2026-08-20 20:47:54,0x101,2,1014
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,73
2026-08-20 20:47:54,0x101,2,102b
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,77
2026-08-20 20:47:54,0x101,2,1000
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,78
2026-08-20 20:47:54,0x101,2,1092
2026-08-20 20:47:54,0x102,1,4e
2026-08-20 20:47:54,0x100,1,74
2026-08-20 20:47:54,0x101,2,10fe
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,78
2026-08-20 20:47:54,0x101,2,106b
2026-08-20 20:47:54,0x102,1,4f
2026-08-20 20:47:54,0x100,1,75
2026-08-20 20:47:54,0x101,2,105d
2026-08-20 20:47:54,0x102,1,4f
